date,generation,countryName,priceEuroPerMwh
2021-06-19,3450000000.0,Austria,70.545
2021-06-20,9133000000.0,Austria,57.815416666666664
2021-06-21,10583000000.0,Austria,78.19333333333333
2021-06-22,7627000000.0,Austria,84.58
2021-06-23,13038000000.0,Austria,92.99208333333333
2021-06-24,10945000000.0,Austria,94.86333333333333
2021-06-25,25105000000.0,Austria,89.91833333333334
2021-06-26,10609000000.0,Austria,78.44916666666667
2021-06-27,1908000000.0,Austria,66.28458333333333
2021-06-28,5367000000.0,Austria,88.90249999999999
2021-06-29,13306000000.0,Austria,91.74291666666666
2021-06-30,32158000000.0,Austria,92.16791666666667
2021-07-01,34600000000.0,Austria,90.1325
2021-07-02,32948000000.0,Austria,97.07833333333333
2021-07-03,12813000000.0,Austria,85.00833333333334
2021-07-04,1373000000.0,Austria,81.63333333333334
2021-07-05,12130000000.0,Austria,94.015
2021-07-06,16569000000.0,Austria,86.70958333333334
2021-07-07,12366000000.0,Austria,101.3825
2021-07-08,17828000000.0,Austria,109.19166666666666
2021-07-09,31817000000.0,Austria,91.27916666666665
2021-07-10,9253000000.0,Austria,81.33291666666666
2021-07-11,8637000000.0,Austria,77.44625
2021-07-12,8637000000.0,Austria,94.01791666666666
2021-07-13,30276000000.0,Austria,94.22541666666666
2021-07-14,17870000000.0,Austria,88.65666666666668
2021-07-15,7233000000.0,Austria,88.92625
2021-07-16,19912000000.0,Austria,84.61749999999999
2021-07-17,19352000000.0,Austria,64.80166666666666
2021-07-18,35243000000.0,Austria,46.85708333333333
2021-07-19,34287000000.0,Austria,90.46208333333334
2021-07-20,24821000000.0,Austria,91.49708333333332
2021-07-21,13260000000.0,Austria,92.3575
2021-07-22,4205000000.0,Austria,88.59541666666667
2021-07-23,1049000000.0,Austria,88.87833333333333
2021-07-24,18108000000.0,Austria,73.90208333333334
2021-07-25,9528000000.0,Austria,62.38625
2021-07-26,9106000000.0,Austria,88.55958333333332
2021-07-27,8764000000.0,Austria,87.18333333333334
2021-07-28,17757000000.0,Austria,82.90583333333333
2021-07-29,6347000000.0,Austria,69.98416666666667
2021-07-30,3232000000.0,Austria,70.15083333333332
2021-07-31,9378000000.0,Austria,47.77166666666667
2021-08-01,21439000000.0,Austria,58.35375
2021-08-02,13288000000.0,Austria,82.04583333333333
2021-08-03,5190000000.0,Austria,96.17125
2021-08-04,3917000000.0,Austria,97.76041666666667
2021-08-05,22097000000.0,Austria,91.96458333333334
2021-08-06,11701000000.0,Austria,67.58
2021-08-07,24623000000.0,Austria,54.65625
2021-08-08,11937000000.0,Austria,7.732083333333333
2021-08-09,4564000000.0,Austria,70.06083333333333
2021-08-10,5081000000.0,Austria,91.70833333333333
2021-08-11,9797000000.0,Austria,101.13916666666667
2021-08-12,3214000000.0,Austria,106.14
2021-08-13,3553000000.0,Austria,93.7375
2021-08-14,1240000000.0,Austria,70.11208333333333
2021-08-15,6687000000.0,Austria,61.25458333333333
2021-08-16,15585000000.0,Austria,71.09875
2021-08-17,28942000000.0,Austria,58.98666666666667
2021-08-18,11963000000.0,Austria,78.85708333333334
2021-08-19,1863000000.0,Austria,93.78500000000001
2021-08-20,707000000.0,Austria,102.77041666666668
2021-08-21,901000000.0,Austria,90.05041666666666
2021-08-22,3965000000.0,Austria,77.58791666666667
2021-08-23,16613000000.0,Austria,94.07458333333334
2021-08-24,27007000000.0,Austria,94.11333333333333
2021-08-25,16183000000.0,Austria,85.45416666666667
2021-08-26,15389000000.0,Austria,93.57833333333333
2021-08-27,9978000000.0,Austria,96.0
2021-08-28,5399000000.0,Austria,85.43958333333335
2021-08-29,25169000000.0,Austria,81.33
2021-08-30,11651000000.0,Austria,107.67583333333333
2021-08-31,34906000000.0,Austria,109.86041666666667
2021-09-01,41086000000.0,Austria,111.49166666666667
2021-09-02,10315000000.0,Austria,117.65791666666667
2021-09-03,148000000.0,Austria,111.72916666666667
2021-09-04,169000000.0,Austria,105.97416666666668
2021-09-05,5665000000.0,Austria,97.57958333333333
2021-09-06,1193000000.0,Austria,128.8575
2021-09-07,2207000000.0,Austria,128.22916666666666
2021-09-08,19125000000.0,Austria,124.86208333333333
2021-09-09,28531000000.0,Austria,133.44541666666666
2021-09-10,8940000000.0,Austria,139.77208333333334
2021-09-11,1859000000.0,Austria,126.80166666666666
2021-09-12,2457000000.0,Austria,107.70625
2021-09-13,2014000000.0,Austria,144.20166666666668
2021-09-14,2101000000.0,Austria,147.75291666666666
2021-09-15,2720000000.0,Austria,167.90541666666667
2021-09-16,9942000000.0,Austria,166.42541666666668
2021-09-17,33300000000.0,Austria,158.23416666666665
2021-09-18,10036000000.0,Austria,132.86833333333334
2021-09-19,12092000000.0,Austria,97.72625
2021-09-20,12156000000.0,Austria,153.84708333333333
2021-09-21,7235000000.0,Austria,148.10375
2021-09-22,23673000000.0,Austria,147.42958333333334
2021-09-23,14330000000.0,Austria,131.3575
2021-09-24,38268000000.0,Austria,129.24583333333334
2021-09-25,5739000000.0,Austria,137.66458333333333
2021-09-26,3115000000.0,Austria,124.67875
2021-09-27,5476000000.0,Austria,152.74375
2021-09-28,14411000000.0,Austria,158.70125
2021-09-29,4416000000.0,Austria,150.01624999999999
